p,instance,rep,time,iterations,value
0.25,ta002,4,5.8e-5,NA,1976
0.25,ta002,5,6.5e-5,NA,1976
0.25,ta002,6,6.8e-5,NA,1976
0.25,ta002,7,0.000125,NA,1976
0.25,ta002,8,6.7e-5,NA,1976
0.25,ta002,9,7.3e-5,NA,1976
0.25,ta002,10,6.7e-5,NA,1976
0.25,ta002,11,6.9e-5,NA,1976
0.25,ta002,12,5.1e-5,NA,1976
0.25,ta002,13,5.8e-5,NA,1976
0.25,ta002,14,7.0e-5,NA,1976
0.25,ta002,15,7.3e-5,NA,1976
0.5,ta002,1,6.1e-5,NA,1976
0.5,ta002,2,7.7e-5,NA,1976
0.5,ta002,3,6.6e-5,NA,1976
0.5,ta002,4,0.000277,NA,1976
0.5,ta002,5,8.9e-5,NA,1976
0.5,ta002,6,6.5e-5,NA,1976
0.5,ta002,7,5.2e-5,NA,1976
0.5,ta002,8,6.4e-5,NA,1976
0.5,ta002,9,5.9e-5,NA,1976
0.5,ta002,10,6.2e-5,NA,1976
0.5,ta002,11,6.3e-5,NA,1976
0.5,ta002,12,6.1e-5,NA,1976
0.5,ta002,13,6.2e-5,NA,1976
0.5,ta002,14,5.9e-5,NA,1976
0.5,ta002,15,5.4e-5,NA,1976
0.75,ta002,1,7.0e-5,NA,1976
0.75,ta002,2,5.8e-5,NA,1976
0.75,ta002,3,6.5e-5,NA,1976
0.75,ta002,4,5.8e-5,NA,1976
0.75,ta002,5,7.4e-5,NA,1976
0.75,ta002,6,5.9e-5,NA,1976
0.75,ta002,7,6.5e-5,NA,1976
0.75,ta002,8,6.3e-5,NA,1976
0.75,ta002,9,6.6e-5,NA,1976
0.75,ta002,10,5.0e-5,NA,1976
0.75,ta002,11,7.3e-5,NA,1976
0.75,ta002,12,5.4e-5,NA,1976
0.75,ta002,13,6.9e-5,NA,1976
0.75,ta002,14,5.2e-5,NA,1976
0.75,ta002,15,6.0e-5,NA,1976
1.0,ta002,1,8.8e-5,NA,1976
1.0,ta002,2,7.7e-5,NA,1976
1.0,ta002,3,0.000768,NA,1976
1.0,ta002,4,0.000124,NA,1976
1.0,ta002,5,0.000144,NA,1976
1.0,ta002,6,7.9e-5,NA,1976
1.0,ta002,7,6.6e-5,NA,1976
1.0,ta002,8,7.4e-5,NA,1976
1.0,ta002,9,6.4e-5,NA,1976
1.0,ta002,10,7.1e-5,NA,1976
1.0,ta002,11,0.000142,NA,1976
1.0,ta002,12,7.0e-5,NA,1976
1.0,ta002,13,4.9e-5,NA,1976
1.0,ta002,14,7.3e-5,NA,1976
1.0,ta002,15,5.8e-5,NA,1976
0.0,ta003,1,5.4e-5,NA,1389
0.0,ta003,2,6.5e-5,NA,1333
0.0,ta003,3,7.2e-5,NA,1184
0.0,ta003,4,6.0e-5,NA,809
0.0,ta003,5,7.1e-5,NA,663
0.0,ta003,6,5.5e-5,NA,625
0.0,ta003,7,0.000135,NA,625
0.0,ta003,8,6.3e-5,NA,625
0.0,ta003,9,7.4e-5,NA,625
0.0,ta003,10,5.8e-5,NA,625
0.0,ta003,11,7.2e-5,NA,625
0.0,ta003,12,6.6e-5,NA,625
0.0,ta003,13,6.4e-5,NA,625
0.0,ta003,14,4.7e-5,NA,625
0.0,ta003,15,6.7e-5,NA,625
0.05,ta003,1,8.1e-5,NA,1621
0.05,ta003,2,6.3e-5,NA,1595
0.05,ta003,3,7.2e-5,NA,1595
0.05,ta003,4,0.000144,NA,1511
0.05,ta003,5,6.4e-5,NA,1424
0.05,ta003,6,7.1e-5,NA,1354
0.05,ta003,7,5.1e-5,NA,1284
0.05,ta003,8,6.5e-5,NA,1283
0.05,ta003,9,6.0e-5,NA,1169
0.05,ta003,10,6.3e-5,NA,1062
0.05,ta003,11,5.4e-5,NA,880
0.05,ta003,12,6.6e-5,NA,734
0.05,ta003,13,6.3e-5,NA,625
0.05,ta003,14,6.8e-5,NA,625
0.05,ta003,15,6.3e-5,NA,625
0.25,ta003,1,0.000132,NA,1620
0.25,ta003,2,6.0e-5,NA,1381
0.25,ta003,3,7.4e-5,NA,1253
0.25,ta003,4,5.8e-5,NA,1131
0.25,ta003,5,7.4e-5,NA,1013
0.25,ta003,6,4.6e-5,NA,927
0.25,ta003,7,4.5e-5,NA,743
0.25,ta003,8,6.3e-5,NA,625
0.25,ta003,9,5.7e-5,NA,625
0.25,ta003,10,5.3e-5,NA,625
0.25,ta003,11,7.3e-5,NA,625
0.25,ta003,12,5.6e-5,NA,625
0.25,ta003,13,5.7e-5,NA,625
0.25,ta003,14,0.00012,NA,625
0.25,ta003,15,6.2e-5,NA,625
0.5,ta003,1,6.3e-5,NA,1959
0.5,ta003,2,6.8e-5,NA,1933
0.5,ta003,3,5.7e-5,NA,1829
0.5,ta003,4,5.5e-5,NA,1777
0.5,ta003,5,6.3e-5,NA,1733
0.5,ta003,6,6.8e-5,NA,1665
0.5,ta003,7,5.9e-5,NA,1655
0.5,ta003,8,6.9e-5,NA,1649
0.5,ta003,9,6.3e-5,NA,1649
0.5,ta003,10,6.8e-5,NA,1649
0.5,ta003,11,5.7e-5,NA,1649
0.5,ta003,12,0.000134,NA,1649
0.5,ta003,13,6.4e-5,NA,1649
0.5,ta003,14,7.1e-5,NA,1649
0.5,ta003,15,5.3e-5,NA,1649
0.75,ta003,1,6.4e-5,NA,1955
0.75,ta003,2,4.3e-5,NA,1929
0.75,ta003,3,6.2e-5,NA,1877
0.75,ta003,4,6.4e-5,NA,1865
0.75,ta003,5,5.6e-5,NA,1813
0.75,ta003,6,4.4e-5,NA,1809
0.75,ta003,7,5.2e-5,NA,1783
0.75,ta003,8,5.3e-5,NA,1757
0.75,ta003,9,5.9e-5,NA,1731
0.75,ta003,10,4.7e-5,NA,1707
0.75,ta003,11,7.4e-5,NA,1655
0.75,ta003,12,0.000702,NA,1648
0.75,ta003,13,0.000135,NA,1648
0.75,ta003,14,6.6e-5,NA,1648
0.75,ta003,15,7.4e-5,NA,1648
1.0,ta003,1,5.3e-5,NA,1985
1.0,ta003,2,6.9e-5,NA,1959
1.0,ta003,3,5.1e-5,NA,1933
1.0,ta003,4,6.2e-5,NA,1907
1.0,ta003,5,5.2e-5,NA,1905
1.0,ta003,6,6.1e-5,NA,1903
1.0,ta003,7,5.2e-5,NA,1899
1.0,ta003,8,6.1e-5,NA,1873
1.0,ta003,9,5.0e-5,NA,1847
1.0,ta003,10,6.3e-5,NA,1841
1.0,ta003,11,0.00012,NA,1835
1.0,ta003,12,5.7e-5,NA,1809
1.0,ta003,13,5.6e-5,NA,1793
1.0,ta003,14,6.7e-5,NA,1767
1.0,ta003,15,5.3e-5,NA,1741
0.0,ta004,1,7.1e-5,NA,1978
0.0,ta004,2,6.0e-5,NA,1978
0.0,ta004,3,7.5e-5,NA,1978
0.0,ta004,4,6.2e-5,NA,1978
0.0,ta004,5,7.6e-5,NA,1978
0.0,ta004,6,0.000198,NA,1978
0.0,ta004,7,9.2e-5,NA,1978
0.0,ta004,8,0.000105,NA,1978
0.0,ta004,9,9.7e-5,NA,1978
0.0,ta004,10,6.8e-5,NA,1978
0.0,ta004,11,7.5e-5,NA,1978
0.0,ta004,12,6.5e-5,NA,1978
0.0,ta004,13,7.5e-5,NA,1978
0.0,ta004,14,6.5e-5,NA,1978
0.0,ta004,15,7.5e-5,NA,1978
