p,instance,rep,time,iterations,value
1.0,ta007,1,7.4e-5,NA,1587
1.0,ta007,2,6.2e-5,NA,1501
1.0,ta007,3,5.6e-5,NA,1440
1.0,ta007,4,7.7e-5,NA,1422
1.0,ta007,5,5.0e-5,NA,1361
1.0,ta007,6,6.3e-5,NA,1318
1.0,ta007,7,5.2e-5,NA,1300
1.0,ta007,8,5.7e-5,NA,1286
1.0,ta007,9,5.7e-5,NA,1224
1.0,ta007,10,0.000172,NA,1217
1.0,ta007,11,5.6e-5,NA,1207
1.0,ta007,12,6.5e-5,NA,1182
1.0,ta007,13,4.4e-5,NA,1170
1.0,ta007,14,6.4e-5,NA,1170
1.0,ta007,15,5.9e-5,NA,1170
0.0,ta008,1,7.0e-5,NA,1412
0.0,ta008,2,6.5e-5,NA,1367
0.0,ta008,3,5.8e-5,NA,1325
0.0,ta008,4,6.5e-5,NA,1277
0.0,ta008,5,6.9e-5,NA,1277
0.0,ta008,6,0.000131,NA,1277
0.0,ta008,7,7.2e-5,NA,1240
0.0,ta008,8,6.6e-5,NA,1240
0.0,ta008,9,7.0e-5,NA,1240
0.0,ta008,10,6.6e-5,NA,1209
0.0,ta008,11,6.5e-5,NA,1209
0.0,ta008,12,6.5e-5,NA,1209
0.0,ta008,13,7.4e-5,NA,1209
0.0,ta008,14,5.5e-5,NA,1209
0.0,ta008,15,6.1e-5,NA,1209
0.05,ta008,1,5.9e-5,NA,1421
0.05,ta008,2,5.9e-5,NA,1365
0.05,ta008,3,5.0e-5,NA,1354
0.05,ta008,4,0.000132,NA,1265
0.05,ta008,5,6.7e-5,NA,1226
0.05,ta008,6,6.7e-5,NA,1226
0.05,ta008,7,6.5e-5,NA,1226
0.05,ta008,8,5.7e-5,NA,1226
0.05,ta008,9,6.4e-5,NA,1226
0.05,ta008,10,5.6e-5,NA,1226
0.05,ta008,11,6.2e-5,NA,1226
0.05,ta008,12,6.3e-5,NA,1226
0.05,ta008,13,6.5e-5,NA,1226
0.05,ta008,14,7.0e-5,NA,1226
0.05,ta008,15,6.5e-5,NA,1226
0.25,ta008,1,0.000136,NA,1443
0.25,ta008,2,5.4e-5,NA,1443
0.25,ta008,3,6.7e-5,NA,1406
0.25,ta008,4,6.6e-5,NA,1327
0.25,ta008,5,0.000194,NA,1320
0.25,ta008,6,9.7e-5,NA,1315
0.25,ta008,7,7.0e-5,NA,1315
0.25,ta008,8,5.9e-5,NA,1315
0.25,ta008,9,7.1e-5,NA,1281
0.25,ta008,10,4.9e-5,NA,1253
0.25,ta008,11,0.000127,NA,1253
0.25,ta008,12,0.000744,NA,1253
0.25,ta008,13,7.8e-5,NA,1253
0.25,ta008,14,6.8e-5,NA,1253
0.25,ta008,15,6.0e-5,NA,1253
0.5,ta008,1,4.9e-5,NA,1653
0.5,ta008,2,7.2e-5,NA,1535
0.5,ta008,3,4.8e-5,NA,1521
0.5,ta008,4,6.6e-5,NA,1386
0.5,ta008,5,6.6e-5,NA,1307
0.5,ta008,6,5.9e-5,NA,1307
0.5,ta008,7,6.4e-5,NA,1307
0.5,ta008,8,6.9e-5,NA,1307
0.5,ta008,9,0.000118,NA,1307
0.5,ta008,10,7.6e-5,NA,1307
0.5,ta008,11,5.7e-5,NA,1303
0.5,ta008,12,7.6e-5,NA,1303
0.5,ta008,13,6.9e-5,NA,1303
0.5,ta008,14,7.1e-5,NA,1303
0.5,ta008,15,6.5e-5,NA,1303
0.75,ta008,1,6.5e-5,NA,1677
0.75,ta008,2,5.4e-5,NA,1664
0.75,ta008,3,5.7e-5,NA,1622
0.75,ta008,4,5.8e-5,NA,1589
0.75,ta008,5,5.5e-5,NA,1522
0.75,ta008,6,4.4e-5,NA,1484
0.75,ta008,7,0.000115,NA,1484
0.75,ta008,8,5.4e-5,NA,1431
0.75,ta008,9,4.5e-5,NA,1409
0.75,ta008,10,5.7e-5,NA,1403
0.75,ta008,11,0.00015,NA,1402
0.75,ta008,12,8.6e-5,NA,1339
0.75,ta008,13,6.6e-5,NA,1297
0.75,ta008,14,5.4e-5,NA,1276
0.75,ta008,15,6.2e-5,NA,1261
1.0,ta008,1,4.2e-5,NA,1615
1.0,ta008,2,5.7e-5,NA,1602
1.0,ta008,3,0.000117,NA,1589
1.0,ta008,4,6.3e-5,NA,1543
1.0,ta008,5,5.6e-5,NA,1503
1.0,ta008,6,5.2e-5,NA,1448
1.0,ta008,7,3.8e-5,NA,1434
1.0,ta008,8,5.7e-5,NA,1424
1.0,ta008,9,4.5e-5,NA,1423
1.0,ta008,10,5.5e-5,NA,1412
1.0,ta008,11,5.1e-5,NA,1369
1.0,ta008,12,5.7e-5,NA,1332
1.0,ta008,13,5.7e-5,NA,1327
1.0,ta008,14,6.2e-5,NA,1324
1.0,ta008,15,5.3e-5,NA,1324
0.0,ta009,1,6.4e-5,NA,1224
0.0,ta009,2,0.000122,NA,1220
0.0,ta009,3,5.8e-5,NA,1220
0.0,ta009,4,6.4e-5,NA,1220
0.0,ta009,5,6.2e-5,NA,1220
0.0,ta009,6,6.4e-5,NA,1220
0.0,ta009,7,6.5e-5,NA,1220
0.0,ta009,8,5.3e-5,NA,1220
0.0,ta009,9,7.5e-5,NA,1220
0.0,ta009,10,6.4e-5,NA,1220
0.0,ta009,11,6.7e-5,NA,1220
0.0,ta009,12,5.7e-5,NA,1220
0.0,ta009,13,7.3e-5,NA,1220
0.0,ta009,14,6.5e-5,NA,1220
0.0,ta009,15,0.000134,NA,1220
0.05,ta009,1,6.5e-5,NA,1274
0.05,ta009,2,7.3e-5,NA,1258
0.05,ta009,3,8.0e-5,NA,1209
0.05,ta009,4,7.2e-5,NA,1209
0.05,ta009,5,6.1e-5,NA,1209
0.05,ta009,6,7.2e-5,NA,1177
0.05,ta009,7,5.5e-5,NA,1177
0.05,ta009,8,6.3e-5,NA,1177
0.05,ta009,9,6.3e-5,NA,1177
0.05,ta009,10,7.2e-5,NA,1177
0.05,ta009,11,0.000137,NA,1177
0.05,ta009,12,6.9e-5,NA,1177
0.05,ta009,13,6.1e-5,NA,1177
0.05,ta009,14,7.2e-5,NA,1177
0.05,ta009,15,6.5e-5,NA,1177
0.25,ta009,1,7.5e-5,NA,1378
0.25,ta009,2,6.3e-5,NA,1325
0.25,ta009,3,7.4e-5,NA,1303
0.25,ta009,4,6.4e-5,NA,1261
0.25,ta009,5,7.0e-5,NA,1219
0.25,ta009,6,0.000776,NA,1219
0.25,ta009,7,0.000252,NA,1219
0.25,ta009,8,7.0e-5,NA,1219
0.25,ta009,9,6.2e-5,NA,1219
0.25,ta009,10,6.4e-5,NA,1219
0.25,ta009,11,0.000134,NA,1219
0.25,ta009,12,5.9e-5,NA,1219
0.25,ta009,13,9.9e-5,NA,1219
0.25,ta009,14,6.6e-5,NA,1219
0.25,ta009,15,7.4e-5,NA,1219
0.5,ta009,1,6.2e-5,NA,1357
0.5,ta009,2,7.4e-5,NA,1353
0.5,ta009,3,6.1e-5,NA,1295
0.5,ta009,4,0.000168,NA,1295
0.5,ta009,5,9.3e-5,NA,1295
0.5,ta009,6,7.1e-5,NA,1295
0.5,ta009,7,7.0e-5,NA,1295
0.5,ta009,8,0.000132,NA,1280
0.5,ta009,9,6.3e-5,NA,1266
0.5,ta009,10,5.2e-5,NA,1259
0.5,ta009,11,6.2e-5,NA,1193
0.5,ta009,12,9.1e-5,NA,1193
0.5,ta009,13,6.1e-5,NA,1181
0.5,ta009,14,0.000177,NA,1181
0.5,ta009,15,0.000122,NA,1181
0.75,ta009,1,8.9e-5,NA,1395
0.75,ta009,2,0.000136,NA,1321
0.75,ta009,3,0.000145,NA,1319
0.75,ta009,4,7.4e-5,NA,1309
0.75,ta009,5,0.00011,NA,1290
0.75,ta009,6,7.8e-5,NA,1273
0.75,ta009,7,0.000129,NA,1263
0.75,ta009,8,4.7e-5,NA,1206
0.75,ta009,9,6.6e-5,NA,1193
0.75,ta009,10,6.7e-5,NA,1193
0.75,ta009,11,7.6e-5,NA,1193
0.75,ta009,12,6.9e-5,NA,1193
0.75,ta009,13,7.4e-5,NA,1193
0.75,ta009,14,6.5e-5,NA,1193
0.75,ta009,15,7.5e-5,NA,1193
1.0,ta009,1,5.4e-5,NA,1465
1.0,ta009,2,6.2e-5,NA,1461
1.0,ta009,3,5.5e-5,NA,1387
1.0,ta009,4,6.3e-5,NA,1343
1.0,ta009,5,5.2e-5,NA,1317
1.0,ta009,6,0.000127,NA,1317
1.0,ta009,7,6.6e-5,NA,1317
1.0,ta009,8,6.4e-5,NA,1266
1.0,ta009,9,6.6e-5,NA,1188
1.0,ta009,10,7.7e-5,NA,1188
1.0,ta009,11,7.5e-5,NA,1188
1.0,ta009,12,6.3e-5,NA,1181
1.0,ta009,13,6.5e-5,NA,1181
1.0,ta009,14,7.6e-5,NA,1181
1.0,ta009,15,6.6e-5,NA,1181
0.0,ta010,1,0.000147,NA,1599
0.0,ta010,2,6.7e-5,NA,1441
0.0,ta010,3,7.5e-5,NA,1425
0.0,ta010,4,6.5e-5,NA,1345
0.0,ta010,5,7.6e-5,NA,1264
0.0,ta010,6,6.4e-5,NA,1240
0.0,ta010,7,7.5e-5,NA,1215
0.0,ta010,8,6.4e-5,NA,1194
0.0,ta010,9,7.6e-5,NA,1112
0.0,ta010,10,6.8e-5,NA,1112
0.0,ta010,11,7.5e-5,NA,1112
0.0,ta010,12,0.000141,NA,1111
0.0,ta010,13,7.5e-5,NA,1072
0.0,ta010,14,6.5e-5,NA,1072
0.0,ta010,15,7.5e-5,NA,1072
0.05,ta010,1,6.5e-5,NA,1762
0.05,ta010,2,7.6e-5,NA,1724
0.05,ta010,3,8.2e-5,NA,1635
0.05,ta010,4,7.5e-5,NA,1605
0.05,ta010,5,6.6e-5,NA,1460
0.05,ta010,6,0.000178,NA,1460
0.05,ta010,7,6.8e-5,NA,1460
0.05,ta010,8,7.6e-5,NA,1336
0.05,ta010,9,6.6e-5,NA,1298
0.05,ta010,10,7.5e-5,NA,1298
0.05,ta010,11,6.4e-5,NA,1298
0.05,ta010,12,7.5e-5,NA,1242
0.05,ta010,13,6.5e-5,NA,1242
0.05,ta010,14,7.5e-5,NA,1204
0.05,ta010,15,0.000787,NA,1202
0.25,ta010,1,8.0e-5,NA,1591
0.25,ta010,2,6.1e-5,NA,1490
0.25,ta010,3,9.2e-5,NA,1323
0.25,ta010,4,6.8e-5,NA,1269
0.25,ta010,5,6.5e-5,NA,1252
0.25,ta010,6,5.4e-5,NA,1204
0.25,ta010,7,6.3e-5,NA,1203
0.25,ta010,8,6.6e-5,NA,1203
0.25,ta010,9,7.6e-5,NA,1202
0.25,ta010,10,6.5e-5,NA,1202
0.25,ta010,11,7.6e-5,NA,1202
0.25,ta010,12,6.4e-5,NA,1202
0.25,ta010,13,7.5e-5,NA,1202
0.25,ta010,14,6.6e-5,NA,1202
0.25,ta010,15,0.000144,NA,1202
0.5,ta010,1,5.7e-5,NA,1611
0.5,ta010,2,7.5e-5,NA,1589
0.5,ta010,3,6.5e-5,NA,1490
0.5,ta010,4,7.5e-5,NA,1490
0.5,ta010,5,6.6e-5,NA,1458
0.5,ta010,6,6.7e-5,NA,1404
0.5,ta010,7,6.1e-5,NA,1382
0.5,ta010,8,6.3e-5,NA,1328
0.5,ta010,9,0.00012,NA,1312
0.5,ta010,10,7.2e-5,NA,1296
0.5,ta010,11,7.4e-5,NA,1258
0.5,ta010,12,9.3e-5,NA,1242
0.5,ta010,13,8.2e-5,NA,1242
0.5,ta010,14,8.3e-5,NA,1202
0.5,ta010,15,7.4e-5,NA,1202
0.75,ta010,1,4.9e-5,NA,1598
0.75,ta010,2,5.4e-5,NA,1560
0.75,ta010,3,6.2e-5,NA,1544
0.75,ta010,4,4.9e-5,NA,1512
0.75,ta010,5,0.000134,NA,1496
0.75,ta010,6,6.8e-5,NA,1464
0.75,ta010,7,8.6e-5,NA,1450
0.75,ta010,8,5.2e-5,NA,1412
0.75,ta010,9,5.3e-5,NA,1374
0.75,ta010,10,7.1e-5,NA,1374
0.75,ta010,11,6.8e-5,NA,1242
0.75,ta010,12,6.2e-5,NA,1242
0.75,ta010,13,0.000114,NA,1222
0.75,ta010,14,8.3e-5,NA,1222
0.75,ta010,15,6.8e-5,NA,1220
1.0,ta010,1,0.000126,NA,1552
1.0,ta010,2,5.9e-5,NA,1536
1.0,ta010,3,5.0e-5,NA,1524
1.0,ta010,4,5.3e-5,NA,1508
1.0,ta010,5,5.8e-5,NA,1470
1.0,ta010,6,5.9e-5,NA,1457
1.0,ta010,7,4.6e-5,NA,1403
1.0,ta010,8,6.0e-5,NA,1365
1.0,ta010,9,5.0e-5,NA,1312
1.0,ta010,10,4.8e-5,NA,1274
1.0,ta010,11,5.3e-5,NA,1241
1.0,ta010,12,5.0e-5,NA,1220
1.0,ta010,13,7.1e-5,NA,1202
1.0,ta010,14,7.6e-5,NA,1202
1.0,ta010,15,5.9e-5,NA,1202
0.0,ta011,1,8.6e-5,NA,1996
0.0,ta011,2,7.8e-5,NA,1975
0.0,ta011,3,8.9e-5,NA,1949
0.0,ta011,4,0.000115,NA,1886
0.0,ta011,5,0.000115,NA,1847
0.0,ta011,6,9.4e-5,NA,1847
0.0,ta011,7,0.000117,NA,1845
0.0,ta011,8,0.000176,NA,1834
0.0,ta011,9,0.000106,NA,1834
0.0,ta011,10,0.000139,NA,1834
0.0,ta011,11,0.000128,NA,1834
0.0,ta011,12,0.000107,NA,1834
0.0,ta011,13,0.00011,NA,1834
0.0,ta011,14,9.7e-5,NA,1834
0.0,ta011,15,9.9e-5,NA,1834
0.05,ta011,1,0.00017,NA,2086
0.05,ta011,2,0.000104,NA,2081
0.05,ta011,3,0.000102,NA,2066
0.05,ta011,4,0.000107,NA,2056
0.05,ta011,5,6.1e-5,NA,2023
0.05,ta011,6,9.8e-5,NA,2016
0.05,ta011,7,0.00011,NA,1995
0.05,ta011,8,0.000111,NA,1992
0.05,ta011,9,0.000916,NA,1992
0.05,ta011,10,0.000487,NA,1992
0.05,ta011,11,0.00015,NA,1992
0.05,ta011,12,0.000116,NA,1992
0.05,ta011,13,0.000132,NA,1992
0.05,ta011,14,0.000308,NA,1992
0.05,ta011,15,0.000355,NA,1992
0.25,ta011,1,0.000138,NA,2086
0.25,ta011,2,0.000124,NA,2081
0.25,ta011,3,6.5e-5,NA,2076
0.25,ta011,4,0.000186,NA,2045
0.25,ta011,5,9.7e-5,NA,2025
0.25,ta011,6,0.000104,NA,2021
0.25,ta011,7,0.000101,NA,2005
0.25,ta011,8,0.00015,NA,1995
0.25,ta011,9,0.00018,NA,1992
0.25,ta011,10,0.000215,NA,1992
0.25,ta011,11,0.000226,NA,1992
0.25,ta011,12,0.000138,NA,1992
0.25,ta011,13,0.000107,NA,1992
0.25,ta011,14,9.0e-5,NA,1992
0.25,ta011,15,0.000118,NA,1992
0.5,ta011,1,0.000157,NA,2058
0.5,ta011,2,0.000102,NA,2045
0.5,ta011,3,6.0e-5,NA,2040
0.5,ta011,4,0.000119,NA,2035
0.5,ta011,5,7.3e-5,NA,2030
0.5,ta011,6,0.000131,NA,2025
0.5,ta011,7,6.6e-5,NA,2020
0.5,ta011,8,9.6e-5,NA,2003
0.5,ta011,9,0.000115,NA,2003
0.5,ta011,10,0.000112,NA,1998
0.5,ta011,11,0.000111,NA,1993
0.5,ta011,12,0.000183,NA,1993
0.5,ta011,13,0.000121,NA,1993
0.5,ta011,14,0.000131,NA,1993
0.5,ta011,15,0.000148,NA,1993
0.75,ta011,1,7.6e-5,NA,2053
0.75,ta011,2,6.0e-5,NA,2051
0.75,ta011,3,7.5e-5,NA,2046
0.75,ta011,4,0.000156,NA,2041
0.75,ta011,5,7.5e-5,NA,2032
0.75,ta011,6,6.1e-5,NA,2027
0.75,ta011,7,7.7e-5,NA,2022
0.75,ta011,8,8.4e-5,NA,2015
0.75,ta011,9,9.4e-5,NA,2012
0.75,ta011,10,7.4e-5,NA,2007
0.75,ta011,11,8.1e-5,NA,2002
0.75,ta011,12,6.6e-5,NA,2001
0.75,ta011,13,0.000176,NA,2001
0.75,ta011,14,0.000102,NA,1996
0.75,ta011,15,0.000136,NA,1996
1.0,ta011,1,8.3e-5,NA,2040
1.0,ta011,2,8.8e-5,NA,2035
1.0,ta011,3,6.4e-5,NA,2030
1.0,ta011,4,7.4e-5,NA,2025
1.0,ta011,5,6.0e-5,NA,2020
1.0,ta011,6,0.000203,NA,2015
1.0,ta011,7,8.7e-5,NA,2010
1.0,ta011,8,7.9e-5,NA,2005
1.0,ta011,9,0.000108,NA,2005
1.0,ta011,10,8.9e-5,NA,2000
1.0,ta011,11,8.2e-5,NA,1992
1.0,ta011,12,0.000116,NA,1992
1.0,ta011,13,0.000103,NA,1992
1.0,ta011,14,0.000114,NA,1992
1.0,ta011,15,0.000205,NA,1992
0.0,ta012,1,0.000114,NA,1882
0.0,ta012,2,0.000104,NA,1859
0.0,ta012,3,0.000121,NA,1723
0.0,ta012,4,0.000106,NA,1723
0.0,ta012,5,0.000114,NA,1689
0.0,ta012,6,0.000186,NA,1662
0.0,ta012,7,0.000125,NA,1641
0.0,ta012,8,0.000104,NA,1641
0.0,ta012,9,0.000117,NA,1641
0.0,ta012,10,0.00011,NA,1641
0.0,ta012,11,0.000115,NA,1632
0.0,ta012,12,0.000102,NA,1597
0.0,ta012,13,0.000115,NA,1565
0.0,ta012,14,0.000117,NA,1565
0.0,ta012,15,0.000112,NA,1565
0.05,ta012,1,0.000103,NA,1922
0.05,ta012,2,0.000121,NA,1918
0.05,ta012,3,0.000858,NA,1792
0.05,ta012,4,0.000299,NA,1699
0.05,ta012,5,0.000174,NA,1667
0.05,ta012,6,0.000121,NA,1667
0.05,ta012,7,0.000102,NA,1667
0.05,ta012,8,0.000112,NA,1667
0.05,ta012,9,0.00011,NA,1626
0.05,ta012,10,0.000115,NA,1626
0.05,ta012,11,0.000103,NA,1626
0.05,ta012,12,8.4e-5,NA,1622
0.05,ta012,13,0.000112,NA,1622
0.05,ta012,14,0.000185,NA,1570
0.05,ta012,15,0.000102,NA,1570
0.25,ta012,1,0.000117,NA,1935
0.25,ta012,2,0.000103,NA,1926
0.25,ta012,3,0.000103,NA,1926
0.25,ta012,4,0.000106,NA,1926
0.25,ta012,5,0.000181,NA,1926
0.25,ta012,6,0.00011,NA,1904
0.25,ta012,7,0.000148,NA,1874
0.25,ta012,8,0.000113,NA,1874
0.25,ta012,9,0.000122,NA,1824
0.25,ta012,10,0.000106,NA,1824
0.25,ta012,11,0.000113,NA,1824
0.25,ta012,12,0.000109,NA,1824
0.25,ta012,13,0.000194,NA,1824
0.25,ta012,14,0.000107,NA,1824
0.25,ta012,15,0.000126,NA,1824
0.5,ta012,1,8.4e-5,NA,1947
0.5,ta012,2,7.7e-5,NA,1927
0.5,ta012,3,7.5e-5,NA,1855
0.5,ta012,4,6.7e-5,NA,1824
0.5,ta012,5,0.000173,NA,1824
0.5,ta012,6,0.000121,NA,1824
0.5,ta012,7,0.000111,NA,1824
0.5,ta012,8,0.000143,NA,1824
0.5,ta012,9,0.000115,NA,1824
0.5,ta012,10,0.000129,NA,1824
0.5,ta012,11,0.000108,NA,1824
0.5,ta012,12,0.000183,NA,1824
0.5,ta012,13,0.000109,NA,1824
0.5,ta012,14,0.000122,NA,1824
0.5,ta012,15,0.000106,NA,1824
0.75,ta012,1,8.7e-5,NA,1920
0.75,ta012,2,0.000103,NA,1920
0.75,ta012,3,0.000119,NA,1920
0.75,ta012,4,0.000105,NA,1920
0.75,ta012,5,7.4e-5,NA,1890
0.75,ta012,6,8.4e-5,NA,1867
0.75,ta012,7,0.000202,NA,1867
0.75,ta012,8,0.000104,NA,1867
0.75,ta012,9,0.000113,NA,1867
0.75,ta012,10,0.000106,NA,1867
0.75,ta012,11,8.1e-5,NA,1864
0.75,ta012,12,6.5e-5,NA,1855
0.75,ta012,13,0.00011,NA,1855
0.75,ta012,14,7.4e-5,NA,1845
0.75,ta012,15,0.000114,NA,1845
1.0,ta012,1,6.6e-5,NA,1878
1.0,ta012,2,9.1e-5,NA,1873
1.0,ta012,3,6.0e-5,NA,1864
1.0,ta012,4,0.000119,NA,1864
1.0,ta012,5,6.4e-5,NA,1845
1.0,ta012,6,0.000115,NA,1845
1.0,ta012,7,0.000102,NA,1845
1.0,ta012,8,6.8e-5,NA,1824
1.0,ta012,9,0.000114,NA,1824
1.0,ta012,10,0.000114,NA,1824
1.0,ta012,11,0.000104,NA,1824
1.0,ta012,12,0.000122,NA,1824
1.0,ta012,13,0.000115,NA,1824
1.0,ta012,14,0.000116,NA,1824
1.0,ta012,15,0.000105,NA,1824
0.0,ta013,1,0.000125,NA,1749
0.0,ta013,2,0.000133,NA,1648
0.0,ta013,3,0.000108,NA,1545
0.0,ta013,4,0.00011,NA,1480
0.0,ta013,5,0.000108,NA,1477
0.0,ta013,6,0.0001,NA,1477
0.0,ta013,7,0.000109,NA,1454
0.0,ta013,8,0.000184,NA,1454
0.0,ta013,9,0.000114,NA,1442
0.0,ta013,10,0.0001,NA,1442
0.0,ta013,11,0.00012,NA,1442
0.0,ta013,12,0.000811,NA,1442
0.0,ta013,13,0.000303,NA,1442
0.0,ta013,14,0.00011,NA,1442
0.0,ta013,15,0.000194,NA,1442
0.05,ta013,1,0.000105,NA,1704
0.05,ta013,2,0.00011,NA,1594
0.05,ta013,3,0.000132,NA,1540
0.05,ta013,4,0.000114,NA,1514
0.05,ta013,5,0.000107,NA,1514
0.05,ta013,6,0.000123,NA,1464
0.05,ta013,7,0.000144,NA,1454
0.05,ta013,8,0.000117,NA,1454
0.05,ta013,9,0.000105,NA,1454
0.05,ta013,10,0.000113,NA,1454
0.05,ta013,11,0.000113,NA,1454
0.05,ta013,12,0.000111,NA,1454
0.05,ta013,13,0.000107,NA,1454
0.05,ta013,14,0.000177,NA,1454
0.05,ta013,15,0.016395,NA,1454
0.25,ta013,1,0.00016,NA,1500
0.25,ta013,2,0.000286,NA,1483
0.25,ta013,3,9.4e-5,NA,1465
0.25,ta013,4,9.8e-5,NA,1460
0.25,ta013,5,0.00012,NA,1448
0.25,ta013,6,0.000108,NA,1448
0.25,ta013,7,0.000117,NA,1448
0.25,ta013,8,0.000174,NA,1448
0.25,ta013,9,0.00012,NA,1448
0.25,ta013,10,0.000111,NA,1448
0.25,ta013,11,0.000116,NA,1445
0.25,ta013,12,7.0e-5,NA,1430
0.25,ta013,13,0.000116,NA,1430
0.25,ta013,14,0.000104,NA,1430
0.25,ta013,15,0.000114,NA,1430
0.5,ta013,1,0.000163,NA,1748
0.5,ta013,2,9.7e-5,NA,1689
0.5,ta013,3,6.4e-5,NA,1633
0.5,ta013,4,7.4e-5,NA,1622
0.5,ta013,5,0.000103,NA,1551
0.5,ta013,6,0.000116,NA,1529
0.5,ta013,7,0.000106,NA,1500
0.5,ta013,8,0.000147,NA,1489
0.5,ta013,9,0.000107,NA,1442
0.5,ta013,10,0.000119,NA,1442
0.5,ta013,11,0.000124,NA,1442
0.5,ta013,12,0.000115,NA,1442
0.5,ta013,13,0.000105,NA,1442
0.5,ta013,14,0.000118,NA,1442
0.5,ta013,15,0.000107,NA,1442
0.75,ta013,1,7.0e-5,NA,1895
0.75,ta013,2,6.2e-5,NA,1806
0.75,ta013,3,0.000186,NA,1747
0.75,ta013,4,7.1e-5,NA,1711
0.75,ta013,5,8.6e-5,NA,1556
0.75,ta013,6,6.0e-5,NA,1544
0.75,ta013,7,7.3e-5,NA,1521
0.75,ta013,8,9.7e-5,NA,1488
0.75,ta013,9,0.0001,NA,1442
0.75,ta013,10,0.0001,NA,1442
0.75,ta013,11,0.000186,NA,1442
0.75,ta013,12,0.00011,NA,1442
0.75,ta013,13,0.000117,NA,1442
0.75,ta013,14,0.000104,NA,1442
0.75,ta013,15,0.00012,NA,1442
1.0,ta013,1,6.7e-5,NA,2006
1.0,ta013,2,7.6e-5,NA,1947
1.0,ta013,3,6.2e-5,NA,1829
1.0,ta013,4,7.3e-5,NA,1674
1.0,ta013,5,0.000138,NA,1597
1.0,ta013,6,9.7e-5,NA,1509
1.0,ta013,7,6.4e-5,NA,1500
1.0,ta013,8,7.6e-5,NA,1487
1.0,ta013,9,6.4e-5,NA,1481
1.0,ta013,10,8.4e-5,NA,1469
1.0,ta013,11,0.000104,NA,1442
1.0,ta013,12,0.000186,NA,1442
1.0,ta013,13,0.000108,NA,1442
1.0,ta013,14,0.000118,NA,1442
1.0,ta013,15,0.000116,NA,1442
0.0,ta014,1,0.000115,NA,1669
0.0,ta014,2,0.000103,NA,1620
0.0,ta014,3,0.000126,NA,1585
0.0,ta014,4,0.000114,NA,1544
0.0,ta014,5,0.000115,NA,1544
0.0,ta014,6,0.000871,NA,1544
0.0,ta014,7,0.00042,NA,1494
0.0,ta014,8,0.000132,NA,1494
0.0,ta014,9,0.000159,NA,1494
0.0,ta014,10,0.000116,NA,1486
0.0,ta014,11,0.000113,NA,1486
0.0,ta014,12,0.000181,NA,1486
0.0,ta014,13,0.000119,NA,1483
0.0,ta014,14,0.00012,NA,1483
0.0,ta014,15,0.000113,NA,1483
0.05,ta014,1,0.000109,NA,1716
0.05,ta014,2,0.000137,NA,1600
0.05,ta014,3,6.5e-5,NA,1597
0.05,ta014,4,0.000114,NA,1562
0.05,ta014,5,0.000178,NA,1537
0.05,ta014,6,0.000109,NA,1537
0.05,ta014,7,0.000115,NA,1537
0.05,ta014,8,0.0001,NA,1528
0.05,ta014,9,9.2e-5,NA,1481
0.05,ta014,10,0.000205,NA,1481
0.05,ta014,11,0.000115,NA,1481
0.05,ta014,12,0.00012,NA,1481
0.05,ta014,13,0.000116,NA,1481
0.05,ta014,14,8.8e-5,NA,1466
0.05,ta014,15,0.000111,NA,1447
0.25,ta014,1,0.000111,NA,1590
0.25,ta014,2,0.000111,NA,1588
0.25,ta014,3,0.000182,NA,1569
0.25,ta014,4,0.000123,NA,1569
0.25,ta014,5,0.000126,NA,1542
0.25,ta014,6,0.000234,NA,1536
0.25,ta014,7,0.000195,NA,1509
0.25,ta014,8,9.1e-5,NA,1506
0.25,ta014,9,0.000261,NA,1471
0.25,ta014,10,0.00011,NA,1456
0.25,ta014,11,0.000117,NA,1454
0.25,ta014,12,0.000103,NA,1454
0.25,ta014,13,0.000111,NA,1431
0.25,ta014,14,0.000103,NA,1431
0.25,ta014,15,0.000113,NA,1420
0.5,ta014,1,6.8e-5,NA,1639
0.5,ta014,2,0.000119,NA,1606
0.5,ta014,3,6.3e-5,NA,1529
0.5,ta014,4,0.000106,NA,1518
0.5,ta014,5,0.0001,NA,1518
0.5,ta014,6,0.000105,NA,1518
0.5,ta014,7,0.00011,NA,1518
0.5,ta014,8,0.000102,NA,1518
0.5,ta014,9,0.000166,NA,1518
0.5,ta014,10,0.000122,NA,1518
0.5,ta014,11,0.0001,NA,1518
0.5,ta014,12,0.000105,NA,1518
0.5,ta014,13,0.000101,NA,1518
0.5,ta014,14,7.4e-5,NA,1517
0.5,ta014,15,6.5e-5,NA,1456
0.75,ta014,1,6.0e-5,NA,1612
0.75,ta014,2,4.5e-5,NA,1582
0.75,ta014,3,5.8e-5,NA,1545
0.75,ta014,4,0.000166,NA,1545
0.75,ta014,5,8.9e-5,NA,1535
0.75,ta014,6,7.0e-5,NA,1496
0.75,ta014,7,0.00012,NA,1496
0.75,ta014,8,9.8e-5,NA,1496
0.75,ta014,9,7.0e-5,NA,1478
0.75,ta014,10,0.0001,NA,1478
0.75,ta014,11,0.000112,NA,1478
0.75,ta014,12,0.000172,NA,1478
0.75,ta014,13,9.8e-5,NA,1478
0.75,ta014,14,4.8e-5,NA,1438
0.75,ta014,15,0.00011,NA,1438
1.0,ta014,1,5.7e-5,NA,1609
1.0,ta014,2,7.5e-5,NA,1585
1.0,ta014,3,6.6e-5,NA,1583
